date,EspaceRichaud_affluence_base100k,train_valid_test
2019-09-25,90.55799707018245,train
2019-09-26,77.2406445598615,train
2019-09-27,85.23105606605407,train
2019-09-28,218.40458116926354,train
2019-09-29,274.3374617126115,train
2019-10-02,77.2406445598615,train
2019-10-03,98.54840857637501,train
2019-10-04,157.1447596217872,train
2019-10-05,2298.5750432813957,train
2019-10-06,284.99134372086826,train
2019-10-09,159.8082301238514,train
2019-10-10,154.481289119723,train
2019-10-11,0.0,train
2019-10-12,0.0,train
2019-10-13,0.0,train
2019-10-16,122.51964309495271,train
2019-10-17,205.0872286589426,train
2019-10-18,162.47170062591556,train
2019-10-19,237.04887468371285,train
2019-10-20,338.2607537621521,train
2019-10-23,242.37581568784125,train
2019-10-24,162.47170062591556,train
2019-10-25,98.54840857637501,train
2019-10-26,226.3949926754561,train
2019-10-27,284.99134372086826,train
2019-10-30,141.16393660940204,train
2019-10-31,79.9041150619257,train
2019-11-01,0.0,train
2019-11-02,221.0680516713277,train
2019-11-03,186.44293514449328,train
2019-11-06,109.20229058463177,train
2019-11-07,93.22146757224664,train
2019-11-08,101.2118790784392,train
2019-11-09,245.03928618990543,train
2019-11-10,386.2032227993075,train
2019-11-13,82.56758556398988,train
2019-11-14,103.87534958050338,train
2019-11-15,95.88493807431082,train
2019-11-16,306.2991077373818,train
2019-11-17,348.91463577040884,train
2019-12-21,2799.3074976694634,train
2019-12-22,3515.78106272473,train
2019-12-23,3917.965108536423,train
2019-12-24,1619.3900652550271,train
2019-12-25,0.0,train
2019-12-26,4131.042748701559,train
2019-12-27,4149.687042216007,train
2019-12-28,3542.4157677453722,train
2019-12-29,3555.7331202556934,train
2019-12-30,4333.466506858437,train
2019-12-31,1747.2366493541083,train
2020-01-01,0.0,train
2020-01-02,4842.189372752697,train
2020-01-03,5473.43188174191,train
2020-01-04,4325.476095352244,train
2020-01-05,3427.8865361566122,train
2020-01-08,1134.6384338793448,train
2020-01-09,378.21281129311495,train
2020-01-10,346.25116526834466,train
2020-01-11,2887.2020242375816,train
2020-01-12,3925.9555200426157,train
2020-01-15,1771.2078838726861,train
2020-01-16,495.40551338393925,train
2020-01-17,665.8676255160474,train
2020-01-18,4581.169263550406,train
2020-01-19,5145.825009988014,train
2020-01-22,1797.842588893328,train
2020-01-23,625.9155679850845,train
2020-01-24,615.2616859768278,train
2020-01-25,4647.756026102011,train
2020-02-19,404.8475163137568,train
2020-02-20,442.1361033426554,train
2020-02-21,394.19363430550004,train
2020-02-22,458.11692635504056,train
2020-02-23,633.9059794912771,train
2020-02-26,135.83699560527367,train
2020-02-27,135.83699560527367,train
2020-02-28,143.82740711146624,train
2020-02-29,391.5301638034358,train
2020-03-01,298.30869623118923,train
2020-03-04,117.19270209082434,train
2020-03-05,109.20229058463177,train
2020-03-06,69.25023305366892,train
2020-03-07,210.41416966307096,train
2020-03-08,234.38540418164868,train
2020-03-11,53.26941004128379,train
